Piece Title,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Overall Quality,Soundcloud Link,TV PLACEMENT YES: TARGET
Asymmetric War,"Score, Hybrid",Dark and driving cinematic superhero score cue,150,Cm,4/4,Aeolian,2:49,"Orchestra, Horn, Strings, Synth","Cinematic, trailer, movie, score, video game, dark, scary, intense, dramatic, moody, spiderman, batman, bat man, gotham, spiderman 2, superhero, marvel, dc comics, comic book, supervillain, super, deadpool, acoustic, epic","anxious, dark, determined, dramatic, brooding, intense, ominous, tense, suspenseful, dangerous","action, chase/fight, crime, drama, elimination, sci-fi, thriller/horror, video game",4,,0
Sunny Side Love,"Pop, Acoustic","Soft, uplifting pop rock",73,Db,4/4,Ionian,2:49,"Piano, Drums, Guitar, Trumpet, Organ","Sunny, Working, hard work, rock, acoustic, guitar, piano, reality","Encouraging, uplifting, hopeful","Reality, Romance",3,,0
Sea Light,"Drone, Ambient","A peacful, joyful, and multilayered layered chordal synth ambiance",120,D,4/4,Ionian,2:47,"Synth, Synth Bass, Sound Effects","Sunrise, Peace, Light, Choir, Coming Home, Realization, Quiet, Relaxed, Ocean, Sea, Beach, Nature, Documentary, Morning, Waking up, Drone, Ambience, Ambient","Chill, Joyful, Happy, Meditative, Relaxed, Positive","Romance, Drama, Teen, Documentary",4,,0
Bright and Shiny,"EDM, Pop",A cheerful synthpop bed,65,Eb,4/4,Ionian,2:46,"Elec. Drums, Synth, Synth Pad, Synth lead","Cheerful, Uplifting, Low-budget, EDM, repetitive, slow, confident","Confident, Solid, Happy, Hopeful","Romance, Reality, Drama",2,,0
For Amber,"Pop, Synthpop","Uplifting electronic pop song with a positive, inspirational message",108,A,4/4,Ionian,2:45,"Synth, Elec Drums, Synth Flute, Male Vox","christian, uplifting, optimistic, bouncy, synthpop","happy, uplifiting, optimistic, cheerful","Teen, Commercial",3,,0
Drive Thru,Rock,Weird and flirty song about fast food,,,4/4,Ionian,2:44,"Synth, Elec Drums, Male Vox.","upbeat, funny, weird, happy, food, hungry, eating, fast food, dinner, lunch","Happy, Cheerful, Flirty",Commercial,1,,0
Platinum Flow,"Score, Orchestral",Moody and epic piano-driven orchestral score with some lush verdent swells,72,Cm,6/8,Aeolian,2:44,"Orchestra, Piano, Electronics","landscape, main title, cinematic, epic, orchestral, anticipation, waiting, motion, exploration","epic, romantic, exciting","documentary, drama, commercial",5,,0
Corporate Minimalism 2,"Score, Corporate",Minimalist corporate background score,150,D,4/4,Ionian,2:44,"Piano, Synth, Percussion, Bells, Celeste","Corporate, acoustic, uplifting, innovative, innovation, exciting, motivational, inspiring","Innovative, Inspirational, cheerful, confident, energetic, positive","Corporate, Commercial",3,,0
Busy Bee,"EDM, Indie",Bubbly and cute bell driven corporate or youtube underscore.,87,C,4/4,Ionian,2:43,"Drums, Bells, Marimba, Synth, Synth Bass","Busy, Manic, Caffeinated, Upbeat, Cheerful, Working, Cleaning, Spring Cleaning, cleaning house, Active","Active, Cheerful, Busy, Happy",Commercial,2,,0
Agate Sculpture,"Videogame, Score","An ambient, bass clarinet driven drone type piece",48,D,4/4,Ionian,2:42,"Orchestra, Bass Clarinet, Strings, Mbira","Ambient, Morning, daybreak, video game, menu, main menu, waking up","cheerful, content, chill, relaxed","Romance, Drama, Video Game",3,,0
Vivaldi Summer Presto,"Classical, Score",Sampled arrangement of Vivaldi's Summer,150,Am,3/4,Aeolian,2:41,"String Section, Violin, Viola, Cello, Bass","Classical, classy, cheerful, upbeat, nature, traditional, vivaldi, antonion","zippy, fast, cheerful, upbeat","commercial, epic",4,,0
Spring - Japan Dreaming 16,"Drone, Ambient",An idyllic and meditative ambiance featuring processed birdcalls and synths,120,Cm,4/4,Aeolian,2:40,"Sound Effects, Synth, Synth Bass","Morning, Springtime, Art Exhibit, Birds, Birdcalls, Peaceful, Spring, Nature, Documentary, Ambient, Ambiance, Drone, Abstract, Idyllic, Relaxing, Mountains, Countryside","Chill, Joyful, Meditative, Moody, Positive, Relaxed, Melancholy","Documentary, Drama, Romance, Crime, ",4,,0
Bicycle and a Parasol,"Piano, Classical",Melancholic and French-inspired piano piece,90,Cm,3/4,Aeolian,2:40,Piano,"Nostalgic, 1920s, piano solo, sepia, black and white, old, ancient","Lonesome, Nostalgic, ","Documentary, Romance",3,,0
I Got a Parking Ticket my Life is Over,"Score, Tension",Overly dramatic tension score,70,Gm,4/4,Aeolian,2:39,"Synth, Synth Bass, Strings, Synth Pluck, Drums, Percussion","Dark, Tension, Lurching, intense, drama, dramatic, intensity, Requiem, Dream","Herpy Derpy, Evil, Dark, Dramatic","Drama, Reality",1,,0
Corporate Minimalism,"Score, Corporate",Title says it all - a simple and inspiring corporate minimalist track featuring piano,147,F,4/4,Ionian,2:33,"Synth Bass, Piano, Cello, Synth, bells","corporate, acoustic, inspirational, motivational, corporation, drug commercial, ad, advertisement, fast, speedy, quick, high tech, hi tech, technology, bay area, startup, keynote, speech, minimal, minimalist, minimalism ","Innovative, Inspirational, cheerful, confident, energetic, positive","Commercial, Corporate, ",3,,0
Chocolate Chip Cookie Dough,"EDM, Electronica",An upbeat and sparkly EDM beat reminiscent of a futuristic ice cream truck.,115,Cm,4/4,Aeolian,2:29,"Elec. Drums, Synth Bass, Synth, Synth Lead, Glockenspiel","Ice cream, Ice cream truck, magic, toys, playful, shopping, futurebass, wobble, coffee shop, toy factory","Bouncy, Cool, Fun, Happy, Joyful, Light, Uplifting, Sweet, Playful, Cheerful","Teen, Romance, Commercial",3,,0
Angelic Painting,"Videogame, Score","Sweet, wholesome, harp-driven orchestral score",120,F,Varies,Ionian,2:29,"Orchestra, Strings, Harp, Flute, Celeste","Wholesome, sweet, reminiscent, memories, memory, nostalgic, childhood, child, video game, toys, toy store, sweet, kind, nostalgia, game, warmth, warm, cheerful, acoustic","nostalgic, content, chill, cheerful, happy, hopeful, peaceful, pleasant, uplifting, relaxed, sweet, whimsical","animation, children, video game, romance",2,,0
Alone on the Sand,"Score, Orchestral",A lonely string-driven melodic underscore type piece with elements of uncertainty and tenstion,115,Bbm,4/4,Aeolian,2:29,"Orchestra, clarinet","Lonely, Uncertain, Dark, Waiting, Creepy, Spooky, ","Lonely, Uncertain, Curious, Moody, Melancholy ","Drama, Crime, Medieval, ",4,,0
Ruminations,"Score, Underscore",Dark and melacholy piano-and-string underscore,55,Em,4/4,Aeolian,2:28,"Piano, Strings","rain, gloomy, depressing, anticipation, verdict, courtroom, underscore, crying, tears, orphan","gloomy, melancholy, depressing, dark, sad","drama, documentary, procedural",3,,0
Eight Bit Simplicity,"Chiptune, Video Game",Videogamey chiptune tune,170,F,4/4,Mixolydian,2:28,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker, perpetual motion","Contented, Happy",Videogame,2,,0
Mountain Refuge,Orchestral,"A blooming orchestral cue featuring french style impressionist piano processed to sound like an old record, leading into an idyllic flute run and string swell, like a sunrise on a lakeside manor in the mountains",105,Ebm,4/4,Aeolian,2:27,"Orchestra, Flute, Piano, Horn","old record, old, french, france, morning, mountains, manor, refuge, idyllic, arrival, peace, serenity, serene, parasol, soda pop, dog, mountain range, Nature, Lake,","Calm, Dreamy, Nostalgic, Relaxing, Romantic, Melancholy, Sentimental, whimsical","Romance, Romantic Comedy, Main Title, Retro, Animation, Children, Builds, Drama",5,,0
Divine Mission,"Corporate, ","Corporate, TV commercial background music with a cello lead",101,Cm,4/4,Aeolian,2:27,"Strings, Orchestra, Piano, Cello, elec drums","Corporate, Innovative, Insprational, motoric, motion, inspiration, cello, melody, car, lexus, luxury, suv, luxurious, premium, commercial, ad, advertisement, medical, drug, medication, ","building, confident, cool, driving, energetic, epic, exciting, smooth, inspirational","broadcast/news, builds, talk show, commercial, drama",3,,0
Going Up,"EDM, Electronica","Featuring heavily processed orchestral and vocal samples, this modern hiphop/edm beat is spacy and unique",95,Am,4/4,Aeolian,2:26,"Synthesizer, Samples, Orchestra, Synth Bass, Wobble Bass","Commercial, Modern, Hip hop, EDM, Club, Driving at night, Driving, Pop Beat, Squirrel Vocals, Smoking, Smoky","Relaxed, Mysterious, Dark, Cool, Sexy, Romantic, Sultry","Commercial, Teen, Romance, Sci-fi, Drama, Video Game, ",3,,0
Ready to Go,"EDM, Tropical House, Pop",Upbeat tropical party anthem with female vocals,180,Gm,4/4,Aeolian,2:26,"Elec Drums, Female Vox, Synth Bass, Synth Plucks, Piano, percussion","beach, summer, tropical, pop, tropical house, house, epic, anthem, party, cycle, drinking, cocaine, island, hawaii, ocean, vacation, travel, upbeat, temptation","joyful, cheerful, upbeat, party, epic, carefree, fun, glamorous, happy, playful, upbeat","Drama, main title, romance, teen",5,,1
Cyclotron,"Score, Tension","A fast-paced chase sequence featuring Tubulum and percussion, perfect for a motorcycle chase or getaway",110,Ebm,4/4,Aeolian,2:25,"Percussion, Synthesizer, Tubulum","Chase, Running, Tesion, Excited, Getaway, Car chase, Escaping the Scene, Bank Robbery, Motorcycle","Excited, Anxious, Intense, Running, Fearful,","Action, Crime, Cyberpunk",3,,0
Reliable Contact,"EDM, Score, Action","Hybrid EDM / Action type score, featuring sounds inspired by cop or spy shows from the 1980s, with a modern spin",125,Cm,4/4,Aeolian,2:24,"Elec Drums, Synth Bass, Synth, Synth Pad,","Dance, Chase, Chase Scene, Drug Dealing, Spies, Spy, Synth Bass, New Wave, Spying, Club, Disco, Discotheque Detective, Investigator, Investigation, Secret Agent, Operation, Operative, 1980s, 1980, EDM, Electronic Dance Music, Electronic, 80s","Sneaky, Dark, Moody, Mysterious, Resolute, Driving, Determined, Powerful, ","Action, Chase/Fight, Crime, Drama, Retro, Elimination, Game Show, Video Game, Sci-Fi",2,,0
Arierre,"Score, Tension","A spooky, intense, and dark piece featuring string stabs and detuned cello.",83,Em,4/4,Aeolian,2:24,"Cello, Strings, Woodblock","Tell-Tale Heart, Evil, Murder, Robbery, Escape, Serial Killer","Scary, Intense, Evil, Brooding, Dark, ","Crime, Horror",2,,0
Corporate Keynote,"Score, Corporate",A fast and innovative sounding corporate score,102,G,4/4,Ionian,2:22,"Piano, Synth, Cello","innovative, uplifting, motivational, corporate, keynote, speech, technology, innovation, high tech","motivational, inspiring",Corporate,4,,0
Sweet Tart (Euphoria,"EDM, Indie",Sparkly hiphop edm tune with vocal samples,115,G,4/4,Ionian,2:22,"Synth, Vocal Samples, Elec. Drums, Bass Synth","Commercial, Candy, Sweet Tarts, Cute, Sweet, Anime, ","Cute, Uplifting, Relaxing, ",Commercial,4,,0
Cosmic Information Party,"EDM, Electronic","Cheerful, cute, melodic low budget electronic music",140,C,4/4,Ionian,2:20,"Synth, elec. drums, synth bass","Childish, Owl City, melodic, cheerful, cute, bubbly, video game, casual game, gamer","Happy, Uplifting, cheerful",Videogame,1,,0
Adventure Begins,"Score, Video Game, Orchestral","Industrious, ambitious, and exciting orchestral score.",150,D,Varies,Mixolydian,2:20,"Orchestra, Strings, Violin, Horn, Percussion, Bass Drum","Pokemon, Adventure, journey, traveling, excitement, digimon, anime, animation, cartoon, beginning, pokemon battle, video game, gamer, gaming, game boy, nintendo, battle, ship, sailing, gaming, acoustic, epic","adventurous, cheerful, confident, determined, epic, excited, fun, victorious","video game, comedy, home improvement, animation, children, fantasy, heroic, teen",3,,0
Bird of Paradise,"Score, Orchestral","Romantic and heart-wrenching, sweet piece",50,Db,3/4,Ionian,2:20,"Orchestra, Horn, Clarinet, Strings, Flute, ","cinematic, cartoon, general midi, old, retro, romance, romantic, heart-wrenching","moody, uplifting","Romance, Animation",1,,0
Luxe (Defining Moment),"Score, Epic",Luxurious hybrid synth orchestral piece that sounds like a car commercial,76,Dm,4/4,Dorian,2:20,"Synth, Elec. Drums, Cello, Synth Pad, Strings","Commercial, Car, Driving, Fast, Majestic, Epic, EDM, Dance Music, Luxury, ","Majestic, Epic, Awesome, Thrilling, Exciting",Commercial,5,,0
Grabbing Stars,"Chiptune, Video Game",Videogamey chiptune tune,140,Am,4/4,Aeolian,2:19,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Hard, Caffeinated, Intense",Videogame,2,,0
Silicon Heart,"Score, Tension","Intense drama underscore build for crime, chase, or superhero",115,Ebm,4/4,Aeolian,2:18,"synth, strings, orchestra, percussion","Trailer, cinematic, marvel, sci-fi, crime, heist, chase, chase scene, dc comics, jason bourne, bourne, spy, motorcycle, car chase, 007, james bond, science fiction, criminal","dark, determined, dramatic, brooding, intense, ominous, tense, suspenseful, dangerous, active, driving, tense","action, drama, trailer, chase/fight, crime",3,,1
Turbulence of Self,"Score, Orchestral","Dramatic string and percussion fight / chase underscore with dramatic hits and a foreboding, quiet ending",114,Ebm,4/4,Aeolian,2:16,"Strings, Orchestra, Horn, Violin","Drama, Action, Fight, Chinese, Japanese, kung fu, ninja, crouching tiger hidden dragon, sword, katana, scrapping, chase scene, chase, long, throwing star, kimono, karate, chaos, chaotic, atonal, harsh, acoustic, epic, tension, waiting, wait, ","dangerous, aggressive, gloomy, mysterious, ominous, sad, dramatic, dark, epic","action, fight/chase, video game, animation, drama",4,,0
Epic Commitment,"Score, Epic","An uplifting and heroic, epic orchestral track featuring strings and horn",125,Gm,4/4,Aeolian,2:16,"Orchestra, Horn, Violin, Strings, Brass, Harp, Synth","Epic, Orchestra, Game of Thrones, Main Theme, Title Theme, Thematic, Orchestral, Melody, Melodic, ","Uplifting, Epic, Romantic, Heroic, Confident, Dramatic, Exciting, Inspirational","Heroic, Animation, Main Title, Medieval, Sci-Fi, Broadcast / News, Reality",4,,0
Timewaster,EDM,Fun Synth and piano tune.,112,Dm,4/4,Aeolian,2:16,"Elec. Drums, Synth, Synth bass, Piano","tropical, piano, synth, lead, melody, underscore, cheap, quick, pop, pop music, groove, thrills, synthesizer, chill, youtube, instagram, tiktok, tik tok, uplifting, bouncy, calm, casual, every day, cheerful happy, easy, fun, happy, joyful, light, optimistic, positive, soft, video game","Annoying, chill, fun, happy",Commercial,1,,0
Airship Discovery,"Score, Epic",Upbeat epic orchestral score that includes elements of Drum and Bass,175,C,4/4,Ionian,2:14,"Orchestra, Electronics, Synth, Drumset","epic, anime, animation, sweeping, score","triumphant, joyful, epic, happy","Animation, Epic",3,,0
The Glowing Forest - The Hero,"Videogame, Score",Magical and animation-style orchestral score,64,C,3/4,Ionian,2:13,"Orchestra, Flute, Strings, Percussion, Bass Drum, Music Box","Magic, Forest, Potion, Riding, Horses, Peter Pan, Neverland, Ride, Hero, Heroic","Dramatic, Magical, Mysterious, Whimsical, Driving, Heroic","Medieval, Animation, Fantasy, Romance, Video Game",3,,0
Skellig,"Score, Light, World, Celtic",Romantic and majestic cello driven score with Irish harmony and instruments.,61,F,4/4,Dorian,2:13,"Orchestra, Bagpipes, Strings, Horn","Irish, Documentary, Romantic, Romance, Majestic, Sweeping, Grandeur, Lonely, Isolated, Epic, Grand","Grand, Epic, Magical, Romantic",Documentary,5,,0
Hermes the Hermit Crab,"Videogame, Tropical House",Cute carribbean-influenced tropical house style jam,105,Eb,4/4,Lydian,2:12,"Percussion, Synth Flute, Piano, Elec bass, Elec drums","beach, happy, carefree, ocean, island, summer, videogame, caribbean, latin","happy, carefree, latin, chill, joyful","animation, teen, romantic comedy, commercial",3,,0
Bounce the Boss,"Chiptune, Video Game",Videogamey chiptune tune,87,Em,4/4,Aeolian,2:12,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Fun, Retro, Slow",Videogame,2,,0
A Beach Margarita,"Electronic, Pop","Upbeat indie electronica track with elements of futurebass, and a nice epic intro build",154,G,4/4,Ionian,2:11,"Synth, Female Vox, DrumSet,","beach, happy, carefree, ocean, island, summer, indie, margarita","relaxed, joyful, upbeat, ","Teen, Romantic Comedy, ",4,,0
Our Love's Like an Apple,Folk,Sweet and romantic guitar/vocal folk tune,68,G,4/4,Ionian,2:11,"Guitar, Female Vox","Romance, Romantic, Apple, Sweet, Cute, Cutesy, Solo, Guitar/vocal","Romantic, Happy","Commercial, Drama, Reality",4,,0
Squareliner,"Rock, Metal",Heavy electronic hard rock tune with a punchy groove,75,Dm,4/4,Aeolian,2:10,"Synth, elec. guitar, drum set, synth bass","hardcore, heavy, metal, truck, action, extreme sports, atv, commercial, hard-hitting, rock, heavy metal, football, wrestling, sports, sport, ad, advertisement, hard core, skating, skateboard, skateboarding, red bull, energy drink, muddin","aggressive, dark, angry, confident, cool, determined, motivated, strong, triumphant","sports, commercial, video game, broadcast/news, action",3,,0
The Glowing Forest - Riding,"Videogame, Score",Magical and animation-style orchestral score,64,Gm,3/4,Aeolian,2:10,"Orchestra, Flute, Strings, Percussion, Bass Drum, Music Box","Magic, Forest, Potion, Riding, Horses, Peter Pan, Neverland, Ride, Hero, Heroic","Dramatic, Magical, Mysterious, Whimsical, Driving, Heroic","Medieval, Animation, Fantasy, Romance, Video Game",3,,0
Headwinds,"Score, Hybrid",Dramatic videogamey hybrid score,95,Dm,4/4,Aeolian,2:10,"Orchestra, Strings, Synth Bass","Dramatic, Hybrid, Epic, melodic, videogame, adventure, adventurous, Superhero","Dark, Dramatic, Heroic ","Superhero, Action, Video Game",4,,0
Otro Narcorrido,Pop,"Spanish-language tune about drug trafficking, with spanish guitar",130,Em,4/4,Aeolian,2:10,"Elec Guitar, Synth, Elec bass, Piano, Male Vox, Female Vox","drugs, narco, latin, latin america, cartel, pablo escobar, cocaine","dark, moody, melancholy","documentary, drama",2,,0
Moodflower Nocturne,"Score, Piano",Solo piano nocturne type piece,80,Bb,3/4,Dorian,2:09,Piano,"Classical, Nocturne, Chopin, Ravel, Live, Real Piano, ","Moody, Eerie, Dramatic, Romantic","Romance, Drama",5,,0
"Set Sail, Lover","Score, Orchestral",A reflective and meditative piece featuring string swells and native american flute,100,E,4/4,Ionian,2:08,"Celeste, Strings, orchestra, horns","heart-wrenching, poignant, gray, misty, haunting, hopeful, hope, slow, largo, score, drama, dramatic, death, heartbreak, heartbroken, romance, romantic, moment, reality tv, acoustic","dramatic, lonely, heartbroken, emotional, sad, melancholy, contemplative, dark","Romance, drama, teen",3,,0
Glass Soul,Hip-hop,"Slow, abstract, and atmospheric hip hop beat ",135,Am,4/4,Aeolian,2:06,"Synth, elec. drums, bells","Glassy, hip hop, beat, sedate, rap, glass, shiny, tik tok, instagram, hangover, hung over, hiphop, edm, relaxed, melancholy, low, lil nas x, ethereal, surreal","calm, chill, cool, contemplative, laid-back, lonely, pensive, reflective, smooth","drama, romance, talk show",3,,0
March to Infinity,"Chiptune, Video Game",Videogamey chiptune tune,124,F,6/8,Mixolydian,2:05,"Synth, Elec. Drums","Videogame, game boy, chiptune, 8-bit, zelda, mario, amiga, commodore, tracker","Heroic, Resolute",Videogame,2,,0
You Are Victorious,"Chiptune, Videogame","High energy and ecstatic, happy retro chiptune style piece",150,D,4/4,Ionian,2:03,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss, funk, funky","Ecstatic, uplifting, cheerful",Video game,3,,0
Resolution and Wisdom,"Score, Orchestral","A slow and melancholic, melodic piece, featuring strings and clarinet",42,Ebm,4/4,Aeolian,2:03,"Strings, Orchestra, clarinet","Tragic, tragedy, sad, sadness, lonely, reflective, remorseful, regret, remorse, regret, heartbreak, poignant, romantic, romance, slow, breakup, death, acoustic,","calm, contemplative, sad, dramatic, melancholy, loss, moody, pensive, thoughtful","Romance, crime, drama, teen, fantasy",3,,0
Minstrel's Theme,"Score, Light",Peaceful medieval type theme that a bard might play,120,C#m,3/4,Dorian,2:03,"Harp, Hand Percussion, Percussion, Recorder, Flute","medieval, history, fantasy, architecture, art, castle, larp, photography, knight, middleages, reenactment, travel, vikings, cosplay, medievaltimes, mittelalter, viking, sword, warrior, knights, europe, medievalart, larping, armor, gothic, medievalarchitecture, nature, pagan, medievalworld, travelphotography, picoftheday, medievale, castles, france, church, larper, middleage, medioevo, history, medievalhistory, italia, italy, photooftheday, handmade, medievalreenactment, archery, costume, germany, photo, landscape, instagood, illustration, historical, drawing, mittelaltermarkt, moyenage, arthistory, castle, cosplay, arte, davinci, milan, portrait, elizabethan, leonardodavinci, thcenturyfashion, queenelizabethi, marystuart, jewellery, handmade, fallforcostume, anneboylen, elizabethan, handmadejewellery, houseoftudor, tudorstyle, elizabethandress, historicaljewellery, masterjakobus, michelangelo, tudorfashion, hechoamano, madeinspain, historicaljewelry, deutscherenaissance, valdeloire, aristocrat, aristocracy, peon, lord, king, tyrant, tyranny, village, villager, bard, minstrel,","peaceful, melancholy, magical, noble, relaxed, positive","Medieval, Romance, Animation, Heroic, Drama, Video Game",4,,0
Puffin Passion,"Score, Light, World, Celtic",Cheerful Irish-influenced score perfect for documentaries,115,Bb,4/4,Mixolydian,2:02,"Bagpipes, Harp, Strings, Percussion, flute, cello","irish, ireland, score, documentary, medical, creation, painting, medicine, house, nature, natural, discovery, animal planet, building things, construction, cheerful, happy, industrious, nature documentary, history channel, puffins, puffin   ","cheerful, adventurous, fun, happy, light, industrious, nature, active, exciting","Documentary, procedural, romance",4,,0
Adularescence,"EDM, Tropical House",Piano driven tropical house background music,135,Em,4/4,Aeolian,2:02,"Elec. Drums, Synth Lead, Cinematic Drums, Piano, Plucks","Beach, tropical, chill, beach, island, pop, ocean, Temptation Island, reality tv, reality show","Chill, relaxed, upbeat, happy, cheerful, low-key, carefree","romance, teen, romantic comedy, reality",2,,0
A Deep Dark Dirge,"Score, Videogame",A dark and heavy bass-melody,102,Gm,4/4,Aeolian,2:00,"Hi hat, choir, acoustic bass, cello","Ambient, ambiant, Ambiance, ambience underscore, hip hop, hip hop ambiance, trap, trap music, horror, thriller, crime, criminal, drama, terror, creepy, scary, sci-fi, urban, tension","Dark, Epic, Ominous, brooding, ","crime, drama, elimination, video game",4,,0
Subterranean Ambiance 2,"Score, Ambient","Seamless loop, magical piano and erhu ambiance.",90,G,4/4,Phrygian,2:00,"Piano, Celeste, Strings, Erhu","Ambient, Ambiant, Ambiance, Ambience, Erhu, Chinese, Eastern, China, loop, background, underscore, melancholy, sad, dark, gloomy, searching, lonely, idle, empty, quiet, deep, calm, contemplative, cool, melancholic, dreamy, ethereal, haunting, hypnotic, magical, mournful, mystical, peaceful, reflective, romantic, smooth, tranquil, piano, strings, violin, orchestra","Idle, Reflective, Waiting, Dreamy, Chill","animation, romance",3,,0
Subterranean Ambiance 3,"Score, Ambient","Seamless loop, magical piano and erhu ambiance.",90,G,4/4,Phrygian,1:59,"Piano, Celeste, Strings, Erhu","Ambient, Ambiant, Ambiance, Ambience, Erhu, Chinese, Eastern, China, loop, background, underscore, melancholy, sad, dark, gloomy, searching, lonely, idle, empty, quiet, deep, calm, contemplative, cool, melancholic, dreamy, ethereal, haunting, hypnotic, magical, mournful, mystical, peaceful, reflective, romantic, smooth, tranquil, piano, strings, violin, orchestra","Idle, Reflective, Waiting, Dreamy, Chill","animation, romance",3,,0
Birds,"Score, Light, World, Celtic",Harp and Cello Romantic Scor,74,G,4/4,Lydian,1:56,"Harp, Orchestra, Strings, Cello","Irish, Documentary, Romantic, Romance, Industrious, Active, Uplifting, Pastoral, Sweet, ","Cheerful, Industrious, Uplifting",Documentary,4,,0
Nepenthes,Rock,"A melodic, sampled guitar tune",80,Gb/F#,4/4,Ionian,1:55,"Guitar, Snaps, Drums, Bass","Uplfiting, Content, Melodic, Cheerful, casual, everyday, home improvement, ","Cheerful, happy, uplifting","Reality, Romance, Commercial",4,,0
Prisoner of Love - Obsession,"Score, Underscore","A dramatic tension track featuring strings, percussion, and hang drum for a tropical vibe.",130,Gm,4/4,Aeolian,1:52,"Strings, Orchestra, Hang Drum, Percussion","Drama, Tension, Drums, Percussion, Breakup, fight, lovers, quarrel, suspense, lover, temptation, epic, hang drum, beach, island, tropical, summer, love","confident, energetic, driving, epic, exciting, tense, dark, dramatic","action, builds, romance, drama, teen",3,,0
Wicked Gambit,"Score, Tension",Orchestral Dramatic Tension build,85,Dm,4/4,Aeolian,1:52,"Orchestra, Strings, Synth Bass","Dark, dramatic, tense, reality tv, tension, action, drama, dramatic","Intense, Dramatic, Angry","Reality, Action",4,,0
Adagvng,Hip-Hop,Heavy minimal hip hop groove,113,Dm,4/4,Aeolian,1:52,"Elec. Drums, Synth, Piano, Synth Bass","Heavy, Hiphop, beat, beats, hip hop, dark, trap, party, drinking, partying, rap, rapper, angry, aggressive, confident, cool, determined, disturbing, dramatic, energetic, evil, groovy, intense, ominous, foreboding, powerful, strange, suspense urban, synthesiser, drum machine, piano, Gangster","Dark, Hardcore, Heavy","Reality, Drama, Action",2,,0
Lime Lacroix,"Score, Epic",Driving and exciting trailer music type cue with drone and pitch bend technique,150,Fm,4/4,Aeolian,1:50,"Horn, Cello, Electronics, Cinematic Drums, String Section","Trailer, Epic, Commercial, Superhero, Marvel, DC, Batman, Spiderman, Spiderman 2, Flying, Batmobile, Chase Sequence,","Intense, Driving, Epic, Dark, Moody, Majestic,","Action, Superhero",5,,0
Deep Melancholy,"Score, Orchestral",A Cello and Piano duet expressing deep lonely regret or melancholy.,115,Bbm,4/4,Aeolian,1:48,"Piano, Cello, Strings, orchestra","Serenade, Cello Solo, Breakup, Death, Sadness, Memories, Lonely","Sad, Regretful, Melancholy, Deep, Blue, Lonely","Drama, Romance",4,,0
Arise,New Wave,Synth driven 80's inspired new wave type tune,145,Gm,4/4,Aeolian,1:48,"Elec Drums, Synth Bass, Synth, Synth Horn, ","Disco, Discotheque, New Wave, Cocaine, Party, Ghostbusters, Retro, Throwback, 1980s, 1980, 80s, Synth, Synth Brass, Saturday Night Fever, DJ, Disc Jockey, Synth Pop","Confident, Cool, Nostalgic, Driving, Party, Smooth, Strong, Upbeat","Romance, Romantic Comedy, Retro, Crime, Video Game, Crime, Action",2,,0
Electrum,"Score, Corporate","Fast and uplifting, Generic score",148,F#/Gb,4/4,Ionian,1:48,"Piano, Drums, Synth, Strings, ","Corporate, Uplifting, Cheesy, Tacky, Epic, ","Happy, Inspirational, Motivational","Corporate, Commercial",1,,0
Puffin Ditty,"Score, Light, World, Celtic",Cheerful Irish-influenced score perfect for documentaries,129,F#/Gm,3/4,Ionian,1:46,"Bagpipes, Harp, Strings, Percussion, flute, cello","irish, ireland, score, documentary, medical, creation, painting, medicine, house, nature, natural, discovery, animal planet, building things, construction, cheerful, happy, industrious, nature documentary, history channel, puffins, puffin   ","cheerful, adventurous, fun, happy, light, industrious, nature, active, exciting","Documentary, procedural, romance",4,,0
Shopping Spree,Corporate,Generic piano-driven commercial / corporate tune,115,D,4/4,Ionian,1:45,"Piano, Drums, Celeste","Corporate, generic, piano, rock, shopping, boring, bland, everyday, ","Everyday, bland, content, happy","Commercial, Corporate",2,,0
Battle Ships,"Score, Video Game, Orchestral",Melodic and adventurous heroic theme,75,D,4/4,Mixolydian,1:45,"Orchestra, Flute, Horns, Strings, Clarinet, Oboe","Adventure, adventurous, pirates, pokemon, action, comics, cartoons","Adventurous, exciting, anticipatory, ","video game, animation",3,,0
Evenfall,Underscore,"A romantic and moody, string and piano driven orchestral score",105,Bm,4/4,Aeolian,1:44,"Orchestra, String Section, Violins, Horn, Piano, Harp","Loss, Tragedy, Breakup, Romance, Nostalgia, Cheating, Remember, Childhood, Remembering","Gloomy, Melancholy, Moody, Romantic, Dark, Mourning, Sad","Drama, Romance, Teen",3,,0
